sub-assembly,page,step,part,quantity,part-url
lower body,2,1,2877,1,https://rebrickable.com/parts/2877
lower body,2,1,6141,2,https://rebrickable.com/parts/6141
lower body,2,1,3028,2,https://rebrickable.com/parts/3028
lower body,2,1,4070,2,https://rebrickable.com/parts/4070
lower body,2,2,3002,4,https://rebrickable.com/parts/3002
lower body,2,2,3006,1,https://rebrickable.com/parts/3006
lower body,2,2,3004,2,https://rebrickable.com/parts/3004
lower body,3,3,32324,1,https://rebrickable.com/parts/32324
lower body,3,3,6232,3,https://rebrickable.com/parts/6232
lower body,3,3,3832,2,https://rebrickable.com/parts/3832
lower body,3,3,3020,2,https://rebrickable.com/parts/3020
lower body,3,3,3660,6,https://rebrickable.com/parts/3660
lower body,3,4,3665,4,https://rebrickable.com/parts/3665
lower body,3,4,3008,1,https://rebrickable.com/parts/3008
lower body,3,4,3710,2,https://rebrickable.com/parts/3710
lower body,3,4,6111,2,https://rebrickable.com/parts/6111
lower body,3,4,3623,4,https://rebrickable.com/parts/3623
lower body,3,4,3023,4,https://rebrickable.com/parts/3023
lower body,3,4,3004,4,https://rebrickable.com/parts/3004
lower body,4,5,3020,2,https://rebrickable.com/parts/3020
lower body,4,5,3832,1,https://rebrickable.com/parts/3832
lower body,4,5,3028,2,https://rebrickable.com/parts/3028
lower body,4,5,3747a,4,https://rebrickable.com/parts/3747a
lower body,4,6,3747a,6,https://rebrickable.com/parts/3747a
lower body,4,6,3665,2,https://rebrickable.com/parts/3665
lower body,4,6,3005,2,https://rebrickable.com/parts/3005
lower body,4,6,3023,2,https://rebrickable.com/parts/3023
lower body,4,6,3623,4,https://rebrickable.com/parts/3623
lower body,4,6,3710,4,https://rebrickable.com/parts/3710
lower body,4,6,41765,1,https://rebrickable.com/parts/41765
lower body,4,6,41764,1,https://rebrickable.com/parts/41764
lower body,5,7,2420,4,https://rebrickable.com/parts/2420
lower body,5,7,3832,4,https://rebrickable.com/parts/3832
lower body,5,7,3030,1,https://rebrickable.com/parts/3030
lower body,5,7,3033,1,https://rebrickable.com/parts/3033
lower body,5,7,3040b,2,https://rebrickable.com/parts/3040b
lower body,5,7,3039,1,https://rebrickable.com/parts/3039
lower body,6,8,3794a,8,https://rebrickable.com/parts/3794a
lower body,6,8,2431,6,https://rebrickable.com/parts/2431
lower body,6,8,3009,4,https://rebrickable.com/parts/3009
lower body,6,8,3031,1,https://rebrickable.com/parts/3031
lower body,6,8,2877,4,https://rebrickable.com/parts/2877
lower body,6,9,4286,2,https://rebrickable.com/parts/4286
lower body,6,9,2877,10,https://rebrickable.com/parts/2877
lower body,6,9,3003,2,https://rebrickable.com/parts/3003
lower body,6,9,3036,4,https://rebrickable.com/parts/3036
lower body,7,10,3747a,5,https://rebrickable.com/parts/3747a
lower body,7,10,44568,2,https://rebrickable.com/parts/44568
lower body,7,10,4150,2,https://rebrickable.com/parts/4150
lower body,7,10,3023,4,https://rebrickable.com/parts/3023
lower body,7,10,3005,2,https://rebrickable.com/parts/3005
lower body,7,10,44728,2,https://rebrickable.com/parts/44728
lower body,7,11,3010,2,https://rebrickable.com/parts/3010
lower body,7,11,3665,2,https://rebrickable.com/parts/3665
lower body,7,11,2412b,2,https://rebrickable.com/parts/2412b
lower body,7,11,3009,1,https://rebrickable.com/parts/3009
lower body,7,11,3023,2,https://rebrickable.com/parts/3023
lower body,7,11,3005,2,https://rebrickable.com/parts/3005
lower body,7,11,2877,4,https://rebrickable.com/parts/2877
lower body,7,11,3005,2,https://rebrickable.com/parts/3005
